name,pricing/rate/amount,address,location/lat,location/lng,url
"Stunning Waterfront, Cascading Family Compound",1495,"Vieques, Puerto Rico",18.14996,-65.44254,https://www.airbnb.com/rooms/53759046
Deluxe Villa at Dorado Beach Ritz Carlton Reserve,940,"Dorado, Puerto Rico",18.46984,-66.30961,https://www.airbnb.com/rooms/13732341
PositanoLuxuryBeachHouse (15personas/niños máximo),950,"Vega Baja, Puerto Rico",18.4907,-66.40833,https://www.airbnb.com/rooms/16643729
La Casona Luxury Villa,999,"Cedro Abajo, Naranjito, Puerto Rico",18.27504,-66.2673,https://www.airbnb.com/rooms/45603192
"Villa Luchetti @ Condado Beach, 1000mbs wifi",956,"San Juan, Puerto Rico",18.45308,-66.06663,https://www.airbnb.com/rooms/4729137
Family Private Pool Home @ Guaynabo Puerto Rico,1245,"Guaynabo, Puerto Rico",18.33987,-66.09733,https://www.airbnb.com/rooms/32181818
"Casa Luar luxury Property, Heated Pool",1250,"Culebra, Puerto Rico",18.31567,-65.25608,https://www.airbnb.com/rooms/16585778
Casa Esme Beach House,1242,"San Juan, Puerto Rico",18.45287,-66.0452,https://www.airbnb.com/rooms/41850324
Private & Luxurious Oceanfront Villa with 7 Suites,1116,"Arecibo, Puerto Rico",18.48636,-66.67738,https://www.airbnb.com/rooms/2802507
"Blue Paradise Resort At Las Picuas, Puerto Rico",1109,"Río Grande, Puerto Rico",18.41266,-65.77667,https://www.airbnb.com/rooms/27578572
Casa Reyes,800,"San Juan, Puerto Rico",18.44945,-66.0455,https://www.airbnb.com/rooms/53639312
"Spacious Villa, Pool, Gorgeous Views, WIFI",1419,"Cabezas, Fajardo, Puerto Rico",18.362,-65.63,https://www.airbnb.com/rooms/53735147
Villa Corzo at Dorado Reef,800,"Dorado, Puerto Rico",18.47496,-66.31458,https://www.airbnb.com/rooms/54222944
Rare Condado Home★7BR/5Bath★Pool/BBQ★Rooftop★Gen,1182,"San Juan, Puerto Rico",18.453,-66.065,https://www.airbnb.com/rooms/41684297
Beachfront villa with pool in Ocean Park,795,"San Juan, Puerto Rico",18.45344,-66.05226,https://www.airbnb.com/rooms/28874068
Breathtaking Oceanfront Villa+ Infinity Pool,950,"Aguadilla, Puerto Rico",18.46747,-67.16886,https://www.airbnb.com/rooms/13218195
Large Villa/Spectacular Ocean Views/ Pool/ Private,1111,"Fajardo, Puerto Rico",18.36389,-65.6269,https://www.airbnb.com/rooms/39632677
Villa Playa Oria/ /Beachfront Luxury,1500,"Puntas, Rincón, Puerto Rico",18.354,-67.268,https://www.airbnb.com/rooms/53232638
"Luxury 5 bedroom villa, The Best Views in Resort",2850,"Río Grande, Puerto Rico",18.3827,-65.7637,https://www.airbnb.com/rooms/53723758
"Villa Almendro,  a Beachfront Villa",900,"Dorado, Puerto Rico",18.46958,-66.31444,https://www.airbnb.com/rooms/42530266
The Coral - A Luxury House,995,"Carolina, Puerto Rico",18.44232,-66.03136,https://www.airbnb.com/rooms/15802691
"LUQUILLO BEACH & RAINFOREST,LUX. VILLA  33 GUESTS!",1275,"Luquillo, Puerto Rico",18.36531,-65.71071,https://www.airbnb.com/rooms/22119215
Hacienda Tres Casitas,1900,"Las Quebradas, Cabo Rojo, Puerto Rico",18.08129,-67.10662,https://www.airbnb.com/rooms/45284185
"""Seas the Day"" at Sandy Beach",1292,"Rincon, Rincón, Puerto Rico",18.36966,-67.2579,https://www.airbnb.com/rooms/9609628
Villa Capri Monthly Rental Resort villa 5+Bedrooms,850,"Río Grande, Puerto Rico",18.38305,-65.75984,https://www.airbnb.com/rooms/47795240
Tesoro del Mar Stunning beachfront beach Villa,1500,"Hatillo, Puerto Rico",18.48565,-66.77105,https://www.airbnb.com/rooms/50677901
2 BR/3BA Villa in St.Regis's Bahia Beach Resort,799,"Río Grande, Puerto Rico",18.4116,-65.82495,https://www.airbnb.com/rooms/37774414
"Tropical Oasis: 4BR House, Pool, Jacuzzi, Pool Bar",862,"Carolina, Puerto Rico",18.44649661612323,-66.03833453,https://www.airbnb.com/rooms/927643378990062100
Jibaro Rooftop Suite/ Private Hot Tub,2948,"Las Quebradas, Cabo Rojo, Puerto Rico",18.08034,-67.10523,https://www.airbnb.com/rooms/52608489
Casa Barrilito- Luxury Home w/ OCEAN VIEWS/POOL,1000,"Rincon, Puerto Rico",18.361,-67.249,https://www.airbnb.com/rooms/20206312
"Ocean Front Villa, Private Pool, BBQ and more!",1000,"Vega Baja, Puerto Rico",18.48745,-66.42512,https://www.airbnb.com/rooms/52896807
Las Palmeras | Oceanfront Luxury 3 Bedrooms Villa,931,"Río Grande, Puerto Rico",18.40881,-65.81605,https://www.airbnb.com/rooms/45952679
Superb Penthouse | Golfview Luxury 4 Bedrooms,995,"Rio Grande, Puerto Rico",18.4121,-65.82092,https://www.airbnb.com/rooms/32920143
"Beachfront Villa: 3BR, 3.5BA, Pool, Secluded Beach",1393,"Vieques, Puerto Rico",18.14,-65.482,https://www.airbnb.com/rooms/4227194
St Regis Modern Luxury Residence | Bahia Beach,1300,"Herreras, Río Grande, Puerto Rico",18.40545,-65.81759,https://www.airbnb.com/rooms/52918420
Comfortable Suite. Rooftop Pool and Lounge.,3004,"San Juan, Puerto Rico",18.46681,-66.11456,https://www.airbnb.com/rooms/14119597
Unique Relaxing Villa at Dorado Beach,1845,"Dorado, Puerto Rico",18.46277,-66.29569,https://www.airbnb.com/rooms/42115167
All Inclusive 7 Room Retreat Center,2950,"Palmer, Río Grande, Puerto Rico",18.37193,-65.76793,https://www.airbnb.com/rooms/6501217
Luxury Beach House(s) /Pool/Jacuzzi/kayaks,894,"Río Grande PR, Puerto Rico",18.4068,-65.77181,https://www.airbnb.com/rooms/40536777
Luxurious and Beautiful Isla Verde beach house,900,"Carolina, Puerto Rico",18.443,-66.014,https://www.airbnb.com/rooms/26346847
CASAMERICA - Luxury Private Villa,1229,"Cayey, Puerto Rico",18.0705,-66.19037,https://www.airbnb.com/rooms/30065332
Stunning Oceanfront Villa+ Private Beach Access,950,"Aguadilla Pueblo, Aguadilla, Puerto Rico",18.46589,-67.1675,https://www.airbnb.com/rooms/19162517
"Luxury  Mansion, Incredible Ocean Views, Sleeps 22",2200,"Candelero Abajo, Humacao, Puerto Rico",18.07376,-65.80432,https://www.airbnb.com/rooms/41848317
"Relax and Unwind! Beachfront Property, Pools",1890,"Guanica, Guánica, Puerto Rico",17.95774,-66.86124,https://www.airbnb.com/rooms/52265216
Casa Saffra Beach Front with Pool in San Juan,999,"San Juan, Puerto Rico",18.45172,-66.04673,https://www.airbnb.com/rooms/33929914
Rooftop Pool | Downtown | Free Parking,2501,"SAN JUAN, PUERTO RICO, Puerto Rico",18.44296,-66.06472,https://www.airbnb.com/rooms/51326221
Deluxe Pleasant Villa in Ritz Carlton Reserve,1949,"Dorado, Puerto Rico",18.46597,-66.29998,https://www.airbnb.com/rooms/42243000
CASA HERDZ-HEAVEN IN THE CARIBBEAN!,1900,"Aguadilla, Puerto Rico",18.46615,-67.16924,https://www.airbnb.com/rooms/7910097
Superior Room at Hotel Boutique in Old San Juan,2957,"San Juan, Puerto Rico",18.46726,-66.114,https://www.airbnb.com/rooms/45764554
Villa Bohemia I Gated Estate w/ Sister Property,1270,"San Juan, Puerto Rico",18.45132,-66.06596,https://www.airbnb.com/rooms/53384697
Villa Paraiso Luxurious Oceanfront,3000,Puerto Rico,18.475,-66.312,https://www.airbnb.com/rooms/1562440
Sunset Paradise Villas - Rincón - 50 guests,2961,"Stella, Rincón, Puerto Rico",18.322,-67.248,https://www.airbnb.com/rooms/22568482
"Survivor Beach Studio #1 Aguadilla,Isabela, Ramey",1738,"Aguadilla , Puerto Rico",18.49366,-67.14871,https://www.airbnb.com/rooms/29992157
